"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Негативный тест: test_missing_fields_type","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","1","Массовая проверка (9 ключей): test_three_extra_in_parameters","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Комбо уровней: test_extra_parameters_and_property","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Позитивный тест: test_all_fields","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","2","Негативный тест имени: mismatch_function_name","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_function_name_mismatch_func_shema","",""
"","1","Ошибка типа: test_type_mismatch_any","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_type_mismatch_json_to_python_json_schema","",""
"","1","Негативный тест: test_missing_fields_default","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","2","Негативный тест имени: function_name","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_invalid_function_signature_func_shema","",""
"","1","Успешный маппинг типа: test_sync_type_object","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_type_mismatch_json_to_python_json_schema","",""
"","0","Структурная ошибка: test_missing_properties_fields","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
"","1","Комбо уровней: test_extra_fields_on_all_levels","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Позитивный тест: test_all_required_fields","tests","Thu Mar 12 06:26:03 UTC 2026","passed","Thu Mar 12 06:26:03 UTC 2026","","tests_unregister_fields_json_schema","",""
"","1","Негативный тест имени: function_name","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_invalid_function_signature_func_shema","",""
"","1","Негативный тест: test_missing_all_fields","tests","Thu Mar 12 06:26:02 UTC 2026","passed","Thu Mar 12 06:26:02 UTC 2026","","tests_missing_fields_json_schema","",""
